epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21660.1,0.55024,0.58176,1.08188,0.95124,0.93651,0.9815,0.84416,0.54576,0.49503,1.0946,0.000600384,0.000600384,0.000600384
43,21774.4,0.5545,0.57548,1.07614,0.97817,0.9083,0.98082,0.8613,0.51008,0.49716,1.06363,0.000580174,0.000580174,0.000580174
44,21887.9,0.57457,0.57537,1.0967,0.96725,0.94067,0.98328,0.86016,0.52033,0.49552,1.09539,0.000559964,0.000559964,0.000559964
45,22001.2,0.5506,0.54182,1.07122,0.95341,0.92032,0.98568,0.85644,0.51753,0.4931,1.09649,0.000539754,0.000539754,0.000539754
46,22124.3,0.5669,0.57374,1.08654,1,0.93089,0.9922,0.87138,0.50953,0.45338,1.07811,0.000519544,0.000519544,0.000519544
47,22241.3,0.52571,0.54733,1.06309,0.99062,0.94841,0.98847,0.85826,0.51309,0.47003,1.06908,0.000499333,0.000499333,0.000499333
48,22354.4,0.52248,0.54555,1.07356,0.9969,0.94577,0.98867,0.87788,0.47497,0.43631,1.04162,0.000479123,0.000479123,0.000479123
49,22468.2,0.55059,0.57979,1.09395,0.99708,0.96184,0.98648,0.87513,0.49673,0.43968,1.06316,0.000458913,0.000458913,0.000458913
50,22584.3,0.53962,0.52689,1.08154,0.95662,0.9575,0.98479,0.86555,0.53459,0.47276,1.10909,0.000438703,0.000438703,0.000438703
51,22698.7,0.49464,0.51338,1.04022,0.97131,0.95292,0.9848,0.85724,0.5479,0.44644,1.1243,0.000418493,0.000418493,0.000418493
52,22814.7,0.53464,0.55346,1.08112,0.96184,0.95767,0.98687,0.87626,0.49735,0.41295,1.07219,0.000398283,0.000398283,0.000398283
53,22930.1,0.51736,0.50822,1.0575,0.93895,0.9753,0.98372,0.87836,0.49476,0.39746,1.07969,0.000378073,0.000378073,0.000378073
54,23044,0.50379,0.49152,1.0427,0.98973,0.92725,0.98464,0.86005,0.54159,0.45565,1.09682,0.000357862,0.000357862,0.000357862
55,23157.2,0.50387,0.50721,1.05802,0.98479,0.95767,0.98856,0.87055,0.5193,0.43137,1.08956,0.000337652,0.000337652,0.000337652
56,23270.3,0.49563,0.49771,1.04388,0.97757,0.96415,0.98715,0.8589,0.51518,0.40838,1.08511,0.000317442,0.000317442,0.000317442
57,23384.3,0.49464,0.52139,1.04717,0.96439,0.96477,0.98647,0.87645,0.49528,0.38073,1.07792,0.000297232,0.000297232,0.000297232
58,23498.9,0.47404,0.48441,1.03979,0.97944,0.97944,0.98859,0.88444,0.48962,0.40334,1.0799,0.000277022,0.000277022,0.000277022
59,23613.5,0.4815,0.51523,1.04766,0.9708,0.97961,0.989,0.87621,0.50486,0.39478,1.09005,0.000256812,0.000256812,0.000256812
60,23738.7,0.50947,0.49003,1.06141,0.98828,0.96693,0.98912,0.88171,0.49767,0.38956,1.06686,0.000236602,0.000236602,0.000236602
61,23874,0.41626,0.40838,1.02986,0.97987,0.97896,0.98987,0.88008,0.46863,0.38327,1.02563,0.000216391,0.000216391,0.000216391
62,24021.5,0.3875,0.38781,1.00713,0.97712,0.98258,0.99249,0.88302,0.46175,0.38226,1.01917,0.000196181,0.000196181,0.000196181
63,24166.5,0.38203,0.38772,1.01014,0.97897,0.96588,0.99061,0.87497,0.45824,0.38276,1.0139,0.000175971,0.000175971,0.000175971
64,24303,0.35829,0.33425,0.97516,0.98254,0.96693,0.99,0.88154,0.45472,0.36828,1.0135,0.000155761,0.000155761,0.000155761
65,24512.9,0.34613,0.32564,0.98632,0.98716,0.95767,0.98922,0.89282,0.45912,0.35872,1.02808,0.000135551,0.000135551,0.000135551
66,24637.7,0.35837,0.32356,0.99005,0.98895,0.97565,0.99133,0.90791,0.44582,0.35056,1.023,0.000115341,0.000115341,0.000115341
67,24769.3,0.35386,0.32374,0.98565,0.99781,0.95767,0.99118,0.90126,0.44429,0.3454,1.01817,9.51306e-05,9.51306e-05,9.51306e-05
68,24996.4,0.34708,0.31761,0.99075,0.99325,0.96958,0.99198,0.90574,0.44568,0.34656,1.0213,7.49204e-05,7.49204e-05,7.49204e-05
69,25150.6,0.32936,0.30721,0.96256,0.98059,0.96958,0.99103,0.9086,0.44185,0.34663,1.01468,5.47103e-05,5.47103e-05,5.47103e-05
70,25315.7,0.33673,0.30643,0.96002,0.99504,0.95767,0.99191,0.91307,0.43574,0.33834,1.00952,3.45001e-05,3.45001e-05,3.45001e-05
